epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,233.845,0.44841,0.59302,0.36002,0.82169,0.97725,1,0.99417,0.94962,0.97725,1,0.99417,0.97485,0.37451,0.17425,0.28416,0.82031,0.000604,0.000604,0.000604
42,240.221,0.45332,0.51762,0.34512,0.82062,0.97727,1,0.99458,0.93979,0.97727,1,0.99458,0.97169,0.35099,0.15211,0.32206,0.82328,0.0005941,0.0005941,0.0005941
43,245.297,0.45254,0.56719,0.35196,0.80766,0.97722,1,0.99458,0.94928,0.97722,1,0.99458,0.97194,0.31939,0.16877,0.33565,0.80886,0.0005842,0.0005842,0.0005842
44,250.38,0.43869,0.51977,0.34328,0.79913,0.97795,1,0.995,0.95267,0.97795,1,0.995,0.97512,0.28699,0.20815,0.30842,0.81062,0.0005743,0.0005743,0.0005743
45,256.629,0.41403,0.50885,0.34523,0.79601,0.97807,1,0.995,0.95354,0.97807,1,0.995,0.96625,0.27687,0.20459,0.31587,0.81321,0.0005644,0.0005644,0.0005644
46,261.581,0.43696,0.48164,0.33927,0.79841,0.97771,1,0.995,0.94546,0.97771,1,0.995,0.97025,0.31554,0.14554,0.30376,0.82296,0.0005545,0.0005545,0.0005545
47,267.181,0.44594,0.53979,0.3408,0.79339,0.97713,1,0.99458,0.96824,0.97713,1,0.99458,0.98024,0.29101,0.14219,0.26318,0.81179,0.0005446,0.0005446,0.0005446
48,272.933,0.42622,0.46477,0.3277,0.79203,0.97871,1,0.995,0.96599,0.97871,1,0.995,0.97431,0.31609,0.16462,0.28227,0.81333,0.0005347,0.0005347,0.0005347
49,277.771,0.42967,0.47513,0.32039,0.79868,0.98082,1,0.995,0.96701,0.98082,1,0.995,0.96822,0.28839,0.15758,0.29149,0.81165,0.0005248,0.0005248,0.0005248
50,284.08,0.46197,0.51222,0.34364,0.79364,0.97908,1,0.995,0.95557,0.97908,1,0.995,0.96619,0.28375,0.15127,0.28873,0.8119,0.0005149,0.0005149,0.0005149
51,289.294,0.42758,0.51986,0.32476,0.79251,0.97741,1,0.99458,0.94335,0.97741,1,0.99458,0.97633,0.30292,0.14446,0.28994,0.81305,0.000505,0.000505,0.000505
52,294.154,0.45086,0.57324,0.33929,0.79691,0.97706,1,0.99375,0.95019,0.97706,1,0.99375,0.9799,0.30279,0.14249,0.28804,0.81755,0.0004951,0.0004951,0.0004951
53,300.539,0.43314,0.46027,0.32337,0.79851,0.97636,1,0.99375,0.94984,0.97636,1,0.99375,0.97589,0.31058,0.14659,0.28692,0.82027,0.0004852,0.0004852,0.0004852
54,305.752,0.45933,0.49466,0.34078,0.80337,0.9752,1,0.99375,0.93767,0.9752,1,0.99375,0.96019,0.30122,0.14191,0.31772,0.81824,0.0004753,0.0004753,0.0004753
55,311.642,0.44214,0.50927,0.33066,0.79703,0.97526,1,0.99375,0.93635,0.97526,1,0.99375,0.95831,0.30665,0.12849,0.32277,0.81694,0.0004654,0.0004654,0.0004654
56,317.348,0.46385,0.57321,0.33456,0.8049,0.97843,1,0.995,0.95101,0.97843,1,0.995,0.97422,0.28709,0.11827,0.29633,0.8165,0.0004555,0.0004555,0.0004555
57,322.38,0.41456,0.4563,0.32268,0.79458,0.98984,1,0.995,0.9568,0.98984,1,0.995,0.96645,0.27885,0.11712,0.29693,0.81458,0.0004456,0.0004456,0.0004456
58,328.723,0.41433,0.43738,0.31125,0.79221,0.99332,1,0.995,0.96154,0.99332,1,0.995,0.97997,0.28339,0.12288,0.29281,0.8067,0.0004357,0.0004357,0.0004357
59,333.701,0.4242,0.45376,0.31595,0.79804,0.99522,1,0.995,0.95527,0.99522,1,0.995,0.98281,0.28263,0.13134,0.25697,0.81498,0.0004258,0.0004258,0.0004258
60,339.427,0.41074,0.45483,0.31035,0.80135,0.99551,1,0.995,0.96058,0.99551,1,0.995,0.9753,0.25046,0.13537,0.24106,0.81175,0.0004159,0.0004159,0.0004159
61,344.972,0.40498,0.51059,0.31147,0.80329,0.9957,1,0.995,0.95898,0.9957,1,0.995,0.97407,0.24735,0.12981,0.26073,0.81135,0.000406,0.000406,0.000406
62,349.976,0.40914,0.47332,0.32045,0.79763,0.99533,1,0.995,0.95862,0.99533,1,0.995,0.97726,0.25566,0.12904,0.26724,0.81214,0.0003961,0.0003961,0.0003961
63,356.401,0.40408,0.50713,0.30645,0.79649,0.99433,1,0.995,0.95997,0.99433,1,0.995,0.98101,0.24711,0.13772,0.24622,0.80853,0.0003862,0.0003862,0.0003862
64,361.381,0.40808,0.50402,0.32062,0.81088,0.99477,1,0.995,0.95252,0.99477,1,0.995,0.97311,0.24336,0.13288,0.24828,0.80714,0.0003763,0.0003763,0.0003763
65,366.597,0.40573,0.52725,0.3058,0.79882,0.99508,1,0.995,0.95285,0.99508,1,0.995,0.96355,0.245,0.13436,0.25227,0.80669,0.0003664,0.0003664,0.0003664
66,372.826,0.40744,0.55132,0.30502,0.80419,0.99526,1,0.995,0.95846,0.99526,1,0.995,0.968,0.25905,0.13458,0.24342,0.80712,0.0003565,0.0003565,0.0003565
67,377.626,0.35464,0.41341,0.28363,0.80478,0.99539,1,0.995,0.96462,0.99539,1,0.995,0.972,0.25129,0.1344,0.23951,0.80802,0.0003466,0.0003466,0.0003466
